subject,condition,reaction_time,first_fixation,choice,mean_choice_by_condition
10,twelve-six,1.6658300000000281,twelve,0,0.75
10,eight-two,1.4558100000000422,eight,0,0.125
10,seven-one,1.5523600000000215,seven,0,0.0
10,eleven-five,1.1973199999999906,five,1,0.75
10,eight-two,0.8254399999999578,eight,0,0.125
10,ten-four,1.617309999999975,four,1,0.375
10,nine-three,0.8082800000000816,nine,0,0.0
10,nine-three,1.0839799999999968,nine,0,0.0
10,ten-four,2.2482899999999972,ten,0,0.375
10,eight-two,0.8893399999999474,two,1,0.125
10,eleven-five,1.2119700000000648,five,1,0.75
10,seven-one,1.116390000000024,seven,0,0.0
10,eight-two,0.6310999999999467,eight,0,0.125
10,twelve-six,0.760310000000004,six,1,0.75
10,twelve-six,0.9219399999999496,twelve,0,0.75
10,eleven-five,2.4257800000000316,five,1,0.75
10,seven-one,1.1152399999999716,seven,0,0.0
10,ten-four,1.892090000000053,ten,0,0.375
10,nine-three,1.1160899999999856,nine,0,0.0
10,nine-three,1.6496600000000399,nine,0,0.0
10,ten-four,1.472039999999879,four,1,0.375
10,seven-one,0.4368899999999485,seven,0,0.0
10,eleven-five,1.423340000000053,five,1,0.75
10,twelve-six,0.7419400000001133,six,1,0.75
10,twelve-six,0.9218700000001263,six,1,0.75
10,eight-two,0.6466100000000097,eight,0,0.125
10,seven-one,0.3878199999999197,seven,0,0.0
10,eleven-five,1.164310000000114,five,1,0.75
10,eight-two,1.406979999999976,eight,0,0.125
10,ten-four,1.2302199999999175,four,1,0.375
10,nine-three,0.4362700000001496,nine,0,0.0
10,nine-three,1.649409999999989,nine,0,0.0
10,ten-four,0.5654300000001058,ten,0,0.375
10,eight-two,0.8734199999998964,eight,0,0.125
10,eleven-five,1.4069899999999507,five,1,0.75
10,seven-one,0.8972200000000612,seven,0,0.0
10,eight-two,0.6956699999998364,eight,0,0.125
10,twelve-six,0.8254399999998441,six,1,0.75
10,twelve-six,1.1649200000001656,six,1,0.75
10,eleven-five,4.464120000000094,eleven,0,0.75
10,seven-one,0.4685099999999238,seven,0,0.0
10,ten-four,1.713989999999967,ten,0,0.375
10,nine-three,0.7766100000001188,nine,0,0.0
9,twelve-six,0.8248300000000199,six,1,1.0
9,ten-four,0.6927499999999327,four,1,0.875
9,eight-two,0.6795700000000124,eight,0,0.0
9,eleven-five,1.569210000000112,eleven,0,0.0
9,ten-four,0.9865800000000036,four,1,0.875
9,eleven-five,0.7278999999998632,eleven,0,0.0
9,twelve-six,0.6634500000000116,six,1,1.0
9,nine-three,0.6793199999999615,nine,0,0.125
9,nine-three,1.1954299999999876,nine,0,0.125
9,seven-one,1.2774699999997665,seven,0,0.125
9,seven-one,1.6501500000003944,seven,0,0.125
9,eight-two,0.6308599999997568,eight,0,0.0
9,eight-two,1.763419999999769,eight,0,0.0
9,seven-one,2.005609999999706,seven,0,0.125
9,seven-one,0.7924800000000687,one,1,0.125
9,nine-three,1.6335500000000138,nine,0,0.125
9,nine-three,1.6174300000002404,three,1,0.125
9,twelve-six,0.7119200000001911,six,1,1.0
9,eleven-five,0.7280300000002171,eleven,0,0.0
9,ten-four,0.8415499999996428,four,1,0.875
9,eleven-five,2.4260300000000825,eleven,0,0.0
9,eight-two,0.8244599999998172,eight,0,0.0
9,ten-four,0.7600099999999657,four,1,0.875
9,twelve-six,1.3105500000001484,six,1,1.0
9,twelve-six,0.9379899999998997,six,1,1.0
9,ten-four,0.5986299999999574,four,1,0.875
9,eight-two,0.5981400000000576,eight,0,0.0
9,eleven-five,1.7136199999999917,eleven,0,0.0
9,ten-four,0.7438999999999396,four,1,0.875
9,eleven-five,1.2612300000000687,eleven,0,0.0
9,twelve-six,1.1635699999997087,six,1,1.0
9,nine-three,1.4394500000003063,nine,0,0.125
9,nine-three,0.6464900000000853,nine,0,0.125
9,seven-one,0.7441399999997884,seven,0,0.125
9,seven-one,0.5817900000001828,seven,0,0.125
9,eight-two,1.5366200000003118,eight,0,0.0
9,eight-two,0.4692400000003545,eight,0,0.0
9,seven-one,0.6630800000002637,seven,0,0.125
9,seven-one,0.5978999999997541,seven,0,0.125
9,nine-three,0.7114299999998366,nine,0,0.125
9,nine-three,0.6635700000001634,nine,0,0.125
9,twelve-six,0.646979999999985,six,1,1.0
9,eleven-five,2.2641600000001745,eleven,0,0.0
9,ten-four,1.9736299999999574,four,1,0.875
9,eleven-five,2.8786599999998543,eleven,0,0.0
9,eight-two,1.9895000000001346,eight,0,0.0
9,ten-four,1.6491700000001401,ten,0,0.875
9,twelve-six,1.714600000000246,six,1,1.0
7,nine-three,0.5988800000000083,nine,0,0.0
7,eight-two,0.9543499999999767,eight,0,0.0
7,nine-three,1.0355199999999058,nine,0,0.0
7,eleven-five,1.0673799999999574,eleven,0,0.5
7,ten-four,0.8407000000001972,four,1,0.875
7,ten-four,0.776489999999967,ten,0,0.875
7,seven-one,1.1968999999999141,seven,0,0.125
7,eight-two,0.7442699999999149,eight,0,0.0
7,twelve-six,0.7602600000000166,six,1,0.75
7,twelve-six,1.3267800000000989,twelve,0,0.75
7,seven-one,1.3264099999998962,seven,0,0.125
7,eleven-five,0.8413100000000213,five,1,0.5
7,eleven-five,0.7762499999998909,five,1,0.5
7,seven-one,0.7926099999999678,seven,0,0.125
7,twelve-six,0.7440200000000914,six,1,0.75
7,twelve-six,0.6149900000000343,six,1,0.75
7,eight-two,0.6470999999999094,eight,0,0.0
7,seven-one,1.2286400000000413,one,1,0.125
7,ten-four,0.760379999999941,four,1,0.875
7,ten-four,0.7277799999999388,four,1,0.875
7,eleven-five,1.326300000000174,eleven,0,0.5
7,nine-three,0.7598899999998139,nine,0,0.0
7,eight-two,0.8576700000000983,eight,0,0.0
7,nine-three,0.8736599999999726,nine,0,0.0
7,nine-three,0.6955600000001141,nine,0,0.0
7,eight-two,1.0026800000000549,eight,0,0.0
7,nine-three,0.7113100000001396,nine,0,0.0
7,eleven-five,0.6627200000000357,five,1,0.5
7,ten-four,1.4718000000000302,four,1,0.875
7,ten-four,1.0997399999998834,four,1,0.875
7,seven-one,1.4075900000000274,seven,0,0.125
7,eight-two,0.7116699999999128,eight,0,0.0
7,twelve-six,1.180789999999888,twelve,0,0.75
7,twelve-six,1.2460900000000947,six,1,0.75
7,seven-one,0.5822799999998551,seven,0,0.125
7,eleven-five,1.051150000000007,eleven,0,0.5
7,eleven-five,0.889409999999998,five,1,0.5
7,seven-one,0.8087199999999939,seven,0,0.125
7,twelve-six,0.8902599999998984,six,1,0.75
7,twelve-six,0.9383500000001277,six,1,0.75
7,eight-two,1.1483100000000377,eight,0,0.0
7,seven-one,0.6149900000000343,seven,0,0.125
7,ten-four,1.3587700000000495,four,1,0.875
7,ten-four,0.7592799999999897,four,1,0.875
7,eleven-five,1.1483100000000377,eleven,0,0.5
7,nine-three,1.1807800000001407,nine,0,0.0
7,eight-two,0.8251999999999953,eight,0,0.0
7,nine-three,0.6470899999999347,nine,0,0.0
23,nine-three,2.136139999999955,nine,0,0.875
23,nine-three,0.7766099999999483,three,1,0.875
23,seven-one,0.4683499999999867,seven,0,0.5
23,ten-four,0.6955300000000193,ten,0,0.25
23,twelve-six,0.9215700000000311,six,1,0.5714285714285714
23,eleven-five,0.8411499999999705,five,1,0.625
23,seven-one,0.9219699999999875,one,1,0.5
23,eleven-five,0.8574500000000285,five,1,0.625
23,eight-two,0.9060699999999997,eight,0,0.375
